account;category;currency;amount;ref_currency_amount;type;payment_type;note;date;transfer;payee;labels
Promerica Platinum Dolares;Alcohol, tobacco;USD;14;279.67;Expense;Cash;Shots late 3;2022-01-01T00:30:51.957Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;14;279.67;Expense;Cash;Shots;2021-12-31T21:40:34.836Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;4.8;95.89;Expense;Cash;Chelas y bocadillo;2021-12-31T18:12:35.788Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;5;99.88;Expense;Cash;Montaditos;2021-12-31T15:07:35.548Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;3;59.93;Expense;Cash;Cheka Que rompí;2021-12-31T15:07:08.877Z;false;;
Promerica Platinum Dolares;Public transport;USD;2;39.95;Expense;Cash;Lime de Ayer;2021-12-31T15:06:50.352Z;false;;
Promerica Platinum Dolares;Food & Drinks;USD;9.16;182.98;Expense;Cash;Groceries;2021-12-30T20:36:13.208Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;14.7;293.65;Expense;Cash;MacDonald’s’s;2021-12-30T11:43:48.042Z;false;;
Promerica Platinum Dolares;Groceries;USD;2;39.95;Expense;Cash;Botella de agua en el tren;2021-12-29T19:25:59.611Z;false;;
Promerica Platinum Dolares;Food & Drinks;USD;17;339.59;Expense;Cash;Kebab x2;2021-12-29T16:43:54.682Z;false;;
Promerica Platinum Dolares;Transportation;USD;10;199.76;Expense;Cash;Teleférico;2021-12-29T15:05:52.914Z;false;;
Promerica Platinum Dolares;Education, development;USD;6.7;133.84;Expense;Cash;Entrada al castillo;2021-12-29T14:19:43.757Z;false;;
Promerica Platinum Dolares;Food & Drinks;USD;3.9;77.91;Expense;Cash;Desayuno;2021-12-29T08:54:16.976Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;9;179.79;Expense;Cash;Chelas con ecuador;2021-12-28T23:26:15.673Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;11.3;225.73;Expense;Cash;Cannabis;2021-12-28T17:34:49.267Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;6.6;131.84;Expense;Cash;Jamón;2021-12-28T17:03:04.957Z;false;;
Promerica Platinum Dolares;Shopping;USD;22;439.48;Expense;Cash;Billetes;2021-12-28T16:15:51.016Z;false;;
Promerica Platinum Dolares;Transportation;USD;2.7;53.94;Expense;Cash;Metro a Castillo;2021-12-28T15:13:43.918Z;false;;
Promerica Platinum Dolares;Gifts, joy;USD;18;359.57;Expense;Cash;2 trastos para poner joyas calientes;2021-12-28T14:47:20.044Z;false;;
Promerica Platinum Dolares;Leisure time;USD;11.8;235.72;Expense;Cash;Entrada al parque;2021-12-28T12:40:15.956Z;false;;
Promerica Platinum Dolares;Bar, cafe;USD;2.2;43.95;Expense;Cash;Jugo en mercado;2021-12-28T12:20:54.387Z;false;;
Promerica Platinum Dolares;Food & Drinks;USD;3.9;77.91;Expense;Cash;Ice Rea y chetos pandilla;2021-12-28T12:20:19.333Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;5.4;107.87;Expense;Cash;Chelas ultimo mínuto;2021-12-28T00:04:30.973Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;6.1;121.85;Expense;Cash;Chelas en bar pagado;2021-12-27T22:44:04.406Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;2.6;51.94;Expense;Cash;Chelas escondidas BCN;2021-12-27T22:08:34.626Z;false;;
Promerica Platinum Dolares;Food & Drinks;USD;2.6;51.94;Expense;Cash;Banano y desodorante;2021-12-27T16:46:22.028Z;false;;
Promerica Platinum Dolares;Gifts, joy;USD;8;159.81;Expense;Cash;Imanes Madrid;2021-12-27T16:23:58.667Z;false;;
Promerica Platinum Dolares;Food & Drinks;USD;12.4;247.7;Expense;Cash;Taco Bell;2021-12-27T15:18:15.763Z;false;;
Promerica Platinum Dolares;Public transport;USD;2.4;47.94;Expense;Cash;Regreso de playa;2021-12-27T14:20:06.543Z;false;;
Promerica Platinum Dolares;Food & Drinks;USD;4;79.9;Expense;Cash;Agua y Gatored;2021-12-27T12:32:41.451Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;4.3;85.9;Expense;Cash;Gomitas y chelas;2021-12-26T19:58:34.033Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;2;39.95;Expense;Cash;Chelas Barcelona;2021-12-26T17:33:32.278Z;false;;
Promerica Platinum Dolares;Loans, interests;USD;228;4554.56;Expense;Cash;Prestado mamá encu;2021-12-26T14:31:22.105Z;false;;Encu
Promerica Black Dolares;Hobbies;USD;26;519.38;Expense;Cash;Apple;2021-12-26T14:27:42.343Z;false;;
Promerica Black Quetzales;Financial expenses;GTQ;2876;7381;Expense;Cash;Cuota;2021-12-26T14:26:19.627Z;false;;
Promerica Platinum Dolares;Housing;USD;8.7;173.79;Expense;Cash;Impuesto de Barcelona;2021-12-26T13:24:18.422Z;false;;
Promerica Platinum Dolares;Public transport;USD;5.8;115.86;Expense;Cash;Metro para salir del suero puerto;2021-12-26T11:13:09.610Z;false;;
Promerica Platinum Dolares;Transportation;USD;34;679.19;Expense;Cash;Maleta de encu;2021-12-26T07:08:49.369Z;false;;Encu
Promerica Platinum Dolares;Transportation;USD;8;159.81;Expense;Cash;Transporte a aeropuerto;2021-12-26T04:51:06.599Z;false;;
Promerica Platinum Dolares;Long distance;USD;93;1857.78;Expense;Cash;Milan -> Barcelona;2021-12-25T12:10:36.841Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2021-12-23T18:00:00.000Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2021-12-22T11:00:00.000Z;false;;
Promerica Platinum Dolares;Housing;USD;8.64;172.59;Expense;Cash;Hostalworld;2021-12-21T18:18:52.772Z;false;;
BBVA 0270;Income;MXN;35027;35027;Income;Cash;Bono de aguinaldo Oracle;2021-12-21T12:28:53.019Z;false;;
BI Gold quetzales;Taxi;GTQ;112;287.44;Expense;Cash;;2021-12-21T12:27:48.648Z;false;;D
