account;category;currency;amount;ref_currency_amount;type;payment_type;note;date;transfer;payee;labels
BBVA 0270;Vehicle;MXN;7400;7400;Expense;Cash;Llantas segunda parte;2026-06-10T21:23:28.854Z;false;;
BBVA 0270;Vehicle;MXN;7400;7400;Expense;Cash;Llantas;2026-06-09T22:35:42.200Z;false;;
BBVA 0270;Fuel;MXN;500;500;Expense;Cash;Diesel;2026-06-09T22:35:29.265Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2026-06-09T18:00:00.000Z;false;;
BBVA 0270;Energy, utilities;MXN;2015;2015;Expense;Cash;Gas;2026-06-09T13:17:09.549Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2026-06-08T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2026-06-06T18:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2026-06-05T18:00:00.000Z;false;;
BBVA 0270;Alcohol, tobacco;MXN;1200;1200;Expense;Cash;Weed de Ani;2026-06-03T18:19:31.078Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2026-06-03T18:00:00.000Z;false;;
Volaris;Fuel;MXN;1000;1000;Expense;Cash;Combustible;2026-06-03T16:36:04.293Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;17.19;343.39;Expense;Cash;AWS Services;2026-06-03T06:14:47.185Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;17.19;343.39;Expense;Cash;AWS Services;2026-06-03T06:14:31.114Z;false;;
BBVA 0270;Vehicle;MXN;400;400;Expense;Cash;Tag;2026-06-02T19:20:24.383Z;false;;
Volaris;Groceries;MXN;2299;2299;Expense;Cash;Soriana;2026-06-02T03:44:00.000Z;false;;
Promerica Black Quetzales;Transfer, withdraw;GTQ;65.26;167.48;Income;Cash;;2026-06-01T23:04:08.376Z;true;;
Promerica Platinum Dolares;Transfer, withdraw;USD;2146;42868.84;Income;Cash;;2026-06-01T23:01:46.024Z;true;;
BI Dolares;Transfer, withdraw;USD;2146;42868.84;Expense;Cash;;2026-06-01T23:01:46.024Z;true;;
BI Quetzales;Pets, animals;GTQ;2000;5132.82;Expense;Cash;Kobe Johnson Man;2026-06-01T23:01:08.634Z;false;;
BBVA 0270;Mortgage;MXN;19500;19500;Expense;Cash;Pago de casa Estefanías;2026-05-29T20:34:22.978Z;false;;
BBVA 0270;Wage, invoices;MXN;26468;26468;Income;Cash;Ms;2026-05-28T12:54:17.482Z;false;;
BBVA 0270;Transfer, withdraw;MXN;20000;20000;Expense;Cash;;2026-05-28T00:47:35.326Z;true;;
BI Dolares;Transfer, withdraw;USD;1001.19;20000;Income;Cash;;2026-05-28T00:47:35.326Z;true;;
