account;category;currency;amount;ref_currency_amount;type;payment_type;note;date;transfer;payee;labels
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2023-12-23T18:00:00.000Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2023-12-22T18:00:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2023-12-21T18:00:00.000Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2023-12-20T18:00:00.000Z;false;Disney;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-12-13T18:00:00.000Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-12-09T18:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2023-12-08T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2023-12-06T18:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2023-12-05T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2023-12-03T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2023-11-23T18:00:00.000Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2023-11-22T18:00:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2023-11-21T18:00:00.000Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2023-11-20T18:00:00.000Z;false;Disney;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-11-13T18:00:00.000Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-11-09T18:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2023-11-08T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2023-11-06T18:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2023-11-05T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2023-11-03T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2023-10-23T18:00:00.000Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2023-10-22T18:00:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2023-10-21T18:00:00.000Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2023-10-20T18:00:00.000Z;false;Disney;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-10-13T18:00:00.000Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-10-09T18:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2023-10-08T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2023-10-06T18:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2023-10-05T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2023-10-03T18:00:00.000Z;false;;
BBVA Crédito;Fallado en traquear;MXN;38573;38573;Expense;Cash;;2023-09-24T01:41:48.515Z;false;;
BI Dolares;Charity, gifts;USD;100;1997.62;Expense;Cash;Ayuda al encu para que me venga a visitar;2023-09-24T01:40:29.156Z;false;;
Promerica Black Dolares;Financial expenses;USD;431;8609.72;Expense;Cash;Gastos relacionados a esta tarjeta;2023-09-24T01:39:20.571Z;false;;
Promerica Black Dolares;Transfer, withdraw;USD;431;8609.72;Income;Cash;;2023-09-24T01:38:58.610Z;true;;
BI Dolares;Transfer, withdraw;USD;431;8609.72;Expense;Cash;;2023-09-24T01:38:58.610Z;true;;
Promerica Platinum Quetzales;Transfer, withdraw;GTQ;1130;2900.05;Income;Cash;;2023-09-24T01:37:00.633Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;1130;2900.05;Expense;Cash;;2023-09-24T01:37:00.633Z;true;;
BI Dolares;Transfer, withdraw;USD;145.18;2900.14;Expense;Cash;;2023-09-24T01:36:27.489Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;1130;2900.05;Income;Cash;;2023-09-24T01:36:27.489Z;true;;
Promerica Platinum Dolares;Transfer, withdraw;USD;452;9029.22;Income;Cash;;2023-09-24T01:35:35.968Z;true;;
BI Dolares;Transfer, withdraw;USD;452;9029.22;Expense;Cash;;2023-09-24T01:35:35.968Z;true;;
Promerica Platinum Quetzales;Financial expenses;GTQ;1130;2900.05;Expense;Cash;;2023-09-24T01:35:29.249Z;false;;
Promerica Platinum Dolares;Financial expenses;USD;155.55;3107.29;Expense;Cash;Cagadales de volaris principalmente;2023-09-24T01:34:43.665Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2023-09-23T18:00:00.000Z;false;;
