account;category;currency;amount;ref_currency_amount;type;payment_type;note;date;transfer;payee;labels
Volaris;Transfer, withdraw;MXN;10000;10000;Income;Cash;Pago de saldos;2025-12-29T04:14:58.408Z;true;;
BBVA 0270;Transfer, withdraw;MXN;10000;10000;Expense;Cash;Pago de saldos;2025-12-29T04:14:58.408Z;true;;
BBVA Crédito;Groceries;MXN;1100;1100;Expense;Cash;Walmart Bowser Masajeador;2025-12-29T02:28:47.884Z;false;;
BBVA Crédito;Food & Drinks;MXN;854;854;Expense;Cash;San Martin;2025-12-29T02:27:46.191Z;false;;
BBVA Crédito;Food & Drinks;MXN;225;225;Expense;Cash;Pizza Ani;2025-12-29T02:27:08.743Z;false;;
BBVA 0270;Housing;MXN;19500;19500;Expense;Cash;pago de Estefanias 9;2025-12-29T02:14:03.485Z;false;;
BBVA 0270;Maintenance, repairs;MXN;700;700;Income;Cash;Reembolso de Gas;2025-12-29T02:13:27.992Z;false;;
Cash Mexico;Electronics, accessories;MXN;129;129;Expense;Cash;Curso de pinutra;2025-12-27T02:16:25.679Z;false;;
Cash Mexico;Electronics, accessories;MXN;149;149;Expense;Cash;Curso de carro;2025-12-27T02:15:40.364Z;false;;
Cash Mexico;Vehicle;MXN;1100;1100;Expense;Cash;Gura para transportar el Jeep;2025-12-24T02:18:23.702Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2025-12-23T18:00:00.000Z;false;;
BBVA 0270;Food & Drinks;MXN;300;300;Expense;Cash;Asado de Tristan;2025-12-23T02:21:36.529Z;false;;
Cash Mexico;Vehicle;MXN;400;400;Expense;Cash;400;2025-12-23T02:19:42.380Z;false;;
BBVA Crédito;Gifts, joy;MXN;3200;3200;Expense;Cash;Christmas Gift;2025-12-22T23:37:26.170Z;false;;
BBVA Crédito;Restaurant, fast-food;MXN;79;79;Expense;Cash;McDonald’s;2025-12-22T23:36:20.607Z;false;;
BBVA Crédito;Clothes & Footwear;MXN;1174;1174;Expense;Cash;Jacket de Ani;2025-12-22T23:35:06.376Z;false;;
BBVA Crédito;Restaurant, fast-food;MXN;483;483;Expense;Cash;Sushi;2025-12-22T23:34:23.830Z;false;;
BBVA Crédito;Bar, cafe;MXN;220;220;Expense;Cash;Bubble tea para Ani;2025-12-22T21:06:28.444Z;false;;
BBVA Crédito;Wellness, beauty;MXN;5400;5400;Expense;Cash;Plantillas para los pies para Ani y para mi;2025-12-22T20:52:11.474Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2025-12-22T18:00:00.000Z;false;;
Volaris;Long distance;MXN;7999;7999;Expense;Cash;Pase Anual de Ani;2025-12-22T03:58:22.360Z;false;;
Volaris;Long distance;MXN;1429;1429;Expense;Cash;Boleto de JP para Guatemala;2025-12-22T03:56:49.244Z;false;;
Volaris;Long distance;MXN;1429;1429;Expense;Cash;;2025-12-22T00:04:00.000Z;false;;
BBVA Crédito;Shopping;MXN;206;206;Expense;Cash;Bardo Thodol;2025-12-21T23:38:00.000Z;false;;
BBVA Crédito;Shopping;MXN;149;149;Expense;Cash;Pipas para la casa;2025-12-21T23:38:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2025-12-21T18:00:00.000Z;false;;
